unit,symbol,section,is_asset,value,declaration
Speed/Indep/SourceLists/zMisc,BrakesModelPackFilename,data,1,CARS\BRAKES\GEOMETRY.BIN,"const char* BrakesModelPackFilename = ""CARS\\BRAKES\\GEOMETRY.BIN"";"
Speed/Indep/SourceLists/zMisc,BrakesTexturePackFilename,data,1,CARS\BRAKES\TEXTURES.BIN,"const char* BrakesTexturePackFilename = ""CARS\\BRAKES\\TEXTURES.BIN"";"
Speed/Indep/SourceLists/zMisc,CarTexturePackFilename,data,1,CARS\TEXTURES.BIN,"const char* CarTexturePackFilename = ""CARS\\TEXTURES.BIN"";"
Speed/Indep/SourceLists/zMisc,ChunkNameTable,data,,BCHUNK_NULL,"const char* ChunkNameTable = ""BCHUNK_NULL"";"
Speed/Indep/SourceLists/zMisc,DynamicTexturePackFilename,data,1,GLOBAL\DYNTEX.BIN,"const char* DynamicTexturePackFilename = ""GLOBAL\\DYNTEX.BIN"";"
Speed/Indep/SourceLists/zMisc,HudDragSplitScreenTexturePackFilename,data,1,GLOBAL\HUDTEXDRAGSPLIT.BIN,"const char* HudDragSplitScreenTexturePackFilename = ""GLOBAL\\HUDTEXDRAGSPLIT.BIN"";"
Speed/Indep/SourceLists/zMisc,HudDragTexturePackFilename,data,1,GLOBAL\HUDTEXDRAG.BIN,"const char* HudDragTexturePackFilename = ""GLOBAL\\HUDTEXDRAG.BIN"";"
Speed/Indep/SourceLists/zMisc,HudSingleRaceTexturePackFilename,data,1,GLOBAL\HUDTEXRACE.BIN,"const char* HudSingleRaceTexturePackFilename = ""GLOBAL\\HUDTEXRACE.BIN"";"
Speed/Indep/SourceLists/zMisc,HudSplitScreenTexturePackFilename,data,1,GLOBAL\HUDTEXSPLIT.BIN,"const char* HudSplitScreenTexturePackFilename = ""GLOBAL\\HUDTEXSPLIT.BIN"";"
Speed/Indep/SourceLists/zMisc,LoadingBootName,data,,loading_boot.fng,"const char* LoadingBootName = ""loading_boot.fng"";"
Speed/Indep/SourceLists/zMisc,LoadingControllerScreenPackageName,data,,Loading_Controller.fng,"const char* LoadingControllerScreenPackageName = ""Loading_Controller.fng"";"
Speed/Indep/SourceLists/zMisc,NFSJoylogChannelInfoTable,data,,JOYLOG_CHANNEL_NONE,"const char* NFSJoylogChannelInfoTable = ""JOYLOG_CHANNEL_NONE"";"
Speed/Indep/SourceLists/zMisc,NFSJoylogChannelInfoTable,data,,JOYLOG_CHANNEL_CONFIG,"const char* NFSJoylogChannelInfoTable = ""JOYLOG_CHANNEL_CONFIG"";"
Speed/Indep/SourceLists/zMisc,NFSJoylogChannelInfoTable,data,,JOYLOG_CHANNEL_JOYEVENTS,"const char* NFSJoylogChannelInfoTable = ""JOYLOG_CHANNEL_JOYEVENTS"";"
