==============================================================================
UCOM.h : 72 simbolos, 45 sin casar, 54124 bytes pendientes
==============================================================================
    180B    0.0% linea:704   zSpeech              UTL::FixedVector<Speech::HistoryPair, 264, 16>::~FixedVector(void)
    180B    0.0% linea:704   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 434, 
    180B    0.0% linea:704   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 8, 16>
    180B    0.0% linea:704   zSim                 UTL::FixedVector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 40,
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<Sim::IEntity *, 8, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<PVehicle::ManageNode, 10, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<ISimpleBody *, 96, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<IRigidBody *, 160, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<IPlayer *, 8, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<IExplosion *, 96, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<IDisposable *, 160, 16>::~FixedVector(void)
    180B    0.0% linea:704   zPhysics             UTL::FixedVector<ICollisionBody *, 160, 16>::~FixedVector(void)
    180B    0.0% linea:704   zCamera              UTL::FixedVector<IDebugWatchCar *, 2, 16>::~FixedVector(void)
    180B    0.0% linea:704   zCamera              UTL::FixedVector<CameraAI::Director *, 2, 16>::~FixedVector(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<Smackable, 160>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IVehicleCache, 18>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<ITrafficCenter, 8>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<ISpikeable, 10>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<ISimpleBody, 96>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IRoadBlock, 8>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IRigidBody, 160>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IRecordablePlayer, 8>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IPursuit, 8>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IModel, 434>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IInputPlayer, 8>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IHud, 2>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IExplosion, 96>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<IDisposable, 160>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Listable<ICollisionBody, 160>::List::~List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Instanceable<HSIMABLE__ *, ISimable, 160>::_List::~_List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Instanceable<HMODEL__ *, IModel, 434>::_List::~_List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Instanceable<HCAUSE__ *, ICause, 10>::_List::~_List(void)
    180B    0.0% linea:212   zPhysics             UTL::Collections::Instanceable<HACTIVITY__ *, Sim::IActivity, 40>::_List::~_List(void)
     52B    0.0% linea:91    zSpeech              UTL::Vector<Speech::SpeechEventPair, 16>::~Vector(void)
     52B    0.0% linea:91    zSpeech              UTL::Vector<Speech::HistoryPair, 16>::~Vector(void)
     52B    0.0% linea:91    zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 16>::~Vect
     52B    0.0% linea:91    zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 16>::~Vecto
     52B    0.0% linea:91    zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 16>::~Ve
     52B    0.0% linea:91    zPhysics             UTL::Vector<Sim::IEntity *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<PVehicle::ManageNode, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<ISimpleBody *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<IRigidBody *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<IPlayer *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<IExplosion *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<IDisposable *, 16>::~Vector(void)
     52B    0.0% linea:91    zPhysics             UTL::Vector<ICollisionBody *, 16>::~Vector(void)
     52B    0.0% linea:91    zCamera              UTL::Vector<IDebugWatchCar *, 16>::~Vector(void)
     52B    0.0% linea:91    zCamera              UTL::Vector<CameraAI::Director *, 16>::~Vector(void)
     52B    0.0% linea:91    zAI                  UTL::Vector<unsigned int, 16>::~Vector(void)
     32B    0.0% linea:563   zSpeech              UTL::Vector<Speech::SpeechEventPair, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zSpeech              UTL::Vector<Speech::HistoryPair, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 16>::GetGr
     32B    0.0% linea:563   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 16>::GetGro
     32B    0.0% linea:563   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 16>::Get
     32B    0.0% linea:563   zPhysics             UTL::Vector<UTL::Collections::GarbageNode<PhysicsObject, 160>::Collector::_Node, 16>::Ge
     32B    0.0% linea:563   zPhysics             UTL::Vector<Smackable *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<Sim::IEntity *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<PVehicle::ManageNode, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IVehicleCache *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<ITrafficCenter *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<ISpikeable *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<ISimpleBody *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IRoadBlock *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IRigidBody *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IRecordablePlayer *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IPursuit *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IPlayer *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IModel *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IInputPlayer *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IHud *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IExplosion *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<IDisposable *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zPhysics             UTL::Vector<ICollisionBody *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zCamera              UTL::Vector<IDebugWatchCar *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zCamera              UTL::Vector<CameraAI::Director *, 16>::GetGrowSize(unsigned int) const
     32B    0.0% linea:563   zAI                  UTL::Vector<unsigned int, 16>::GetGrowSize(unsigned int) const
     24B    0.0% linea:118   zCamera              Count__Q33UTL11Collectionst11ListableSet4Z7IPlayeri8Z11ePlayerListUi311ePlayerList
     24B    0.0% linea:118   zAI                  Count__Q33UTL11Collectionst11ListableSet4Z8IVehiclei10Z12eVehicleListUi1012eVehicleList
     12B    0.0% linea:570   zSpeech              UTL::Vector<Speech::SpeechEventPair, 16>::GetMaxCapacity(void) const
     12B    0.0% linea:570   zSpeech              UTL::Vector<Speech::HistoryPair, 16>::GetMaxCapacity(void) const
     12B    0.0% linea:570   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Model, 434>::Collector::_Node, 16>::GetMa
     12B    0.0% linea:570   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Entity, 8>::Collector::_Node, 16>::GetMax
     12B    0.0% linea:570   zSim                 UTL::Vector<UTL::Collections::GarbageNode<Sim::Activity, 40>::Collector::_Node, 16>::Get
